Title,average_rating,ratings_count,Amazon Link,Author,Author Gender,Book Type,Fiction / Non-Fiction,Genre,Publish Year,Rank (copy),Rank Year,Reason,Reason (Consolidated),Title (copy),Page Count,Points,Rank,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action,bookID,title,authors,isbn,isbn13,language_code,  num_pages,text_reviews_count,publication_date,publisher
Of Mice and Men,3.87,1755253,https://www.amazon.com/Mice-Men-John-Steinbeck/dp/0140177396,John Steinbeck,Man,Book,Fiction,Realistic Fiction,1937,8,2020,"Banned and challenged for racial slurs and racist stereotypes, racism, and their negative effect on students",,Of Mice and Men,107,3,8,,,,,Iowa,Spencer Community School District,June 2024,Banned pending investigation,Administration,890,Of Mice and Men,John Steinbeck,142000671,9780142000670,eng,103,25554,1/8/2002,Penguin Books
Out of Darkness,4.14,8075,https://www.amazon.com/Out-Darkness-Fiction-Young-Adult/dp/1467742023,Ashley Hope Perez,Woman,Book,Fiction,Young Adult,2015,4,2021,"Banned, challenged, and restricted for depictions of abuse and because it was considered to be sexually explicit",,Out of Darkness,408,7,4,,,,,,,,,,,,,,,,,,,
Persepolis,4.26,216202,https://www.amazon.com/Persepolis-Childhood-Pantheon-Graphic-Library/dp/037571457X,Marjane Satrapi,Woman,Graphic Novel,Non-Fiction,Memoir,2000,2,2014,"gambling, offensive language, political viewpoint. Additional reasons:  political, racism, “politically, racially, and socially offensive,” “graphic depictions”",,Persepolis,160,9,2,,,,,,,,,,,,,,,,,,,
Prince & Knight,4.45,3379,https://www.amazon.com/Prince-Knight-Daniel-Haack/dp/1499805527,Daniel Haack,Man,Picture Book,Fiction,Children's,2018,5,2019,"challenged and restricted for featuring a same-sex marriage and LGBTQIA+ content; for being “a deliberate attempt to indoctrinate young children” transgender, with the potential to cause confusion, curiosity, and gender dysphoria; and for conflicting with a religious viewpoint",,Prince & Knight,40,6,5,,,,,,,,,,,,,,,,,,,
Saga,4.17,342710,https://www.amazon.com/Saga-Vol-1-Brian-Vaughan/dp/1607066017,Brian Vaughan,Man,Graphic Novel,Fiction,Fantasy,2012,6,2014,"anti family values, nudity, offensive language, sexually explicit, and unsuited for age group",,Saga,160,5,6,,,,,,,,,,,,,,,,,,,
Scary Stories (series),4.05,69675,https://www.amazon.com/Scary-Stories-Tell-Alvin-Schwartz/dp/0060835206,Alvin Schwartz,Man,Book,Fiction,Horror,1981,8,2012,"unsuited for age group, violence",,Scary Stories (series),128,3,8,,,,,,,,,,,,,,,,,,,
Sex is a Funny Word,4.47,1710,https://www.amazon.com/Sex-Funny-Word-Bodies-Feelings/dp/1609806069,Cory Silverberg,Man,Graphic Novel,Non-Fiction,Children's,2015,4,2019,"challenged, banned, and relocated for LGBTQIA+ content; for discussing gender identity, transgender, and sex education; and for concerns that the title and illustrations were “inappropriate”",,Sex is a Funny Word,160,7,4,,,,,,,,,,,,,,,,,,,
Sex is a Funny Word,4.47,1710,https://www.amazon.com/Sex-Funny-Word-Bodies-Feelings/dp/1609806069,Cory Silverberg,Man,Graphic Novel,Non-Fiction,Children's,2015,6,2017,This 2015 informational children’s book written by a certified sex educator was challenged because it addresses sex education and is believed to lead children to “want to have sex or ask questions about sex.”,,Sex is a Funny Word,160,5,6,,,,,,,,,,,,,,,,,,,
Skippyjon Jones (series),4.38,24,https://www.amazon.com/Skippyjon-Jones-Judy-Schachner/dp/0142404039,Judy Schachner,Woman,Picture Book,Fiction,Children's,2003,8,2018,"challenged for depicting stereotypes of Mexican culture, racism",,Skippyjon Jones (series),32,3,8,,,,,,,,,,,,,,,,,,,
Something Happened in Our Town: A Child’s Story About Racial Injustice,4.22,1712,https://www.amazon.com/Something-Happened-Our-Town-Injustice/dp/1433828545,"Marianne Celano, Marietta Collins, and Ann Hazzard",Woman,Picture Book,Fiction,Children's,2018,6,2020,"Challenged for “divisive language” and because it was thought to promote anti-police views, political",,Something Happened in Our Town: A Child’s Story About Racial Injustice,40,5,6,,,,,,,,,,,,,,,,,,,
Speak,4.05,606966,https://www.amazon.com/Speak-Laurie-Halse-Anderson/dp/0312674392,Laurie Halse Anderson,Woman,Book,Fiction,Young Adult,1999,4,2020,"Banned, challenged, and restricted because it was thought to contain a political viewpoint and it was claimed to be biased against male students, and for the novel’s inclusion of rape and profanity",,Speak,197,7,4,,,,,,,,,,,,,,,,,,,
"Stamped: Racism, Antiracism, and You",4.47,52518,https://www.amazon.com/Stamped-Antiracism-National-Award-winning-Beginning/dp/0316453692,Ibram X. Kendi and Jason Reynolds,Man,Book,Non-Fiction,History,2020,2,2020,"Banned and challenged because of author’s public statements, and because of claims that the book contains “selective storytelling incidents” and does not encompass racism against all people",,"Stamped: Racism, Antiracism, and You",294,9,2,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,1,2014,"anti-family, cultural insensitivity, drugs/alcohol/smoking, gambling, offensive language, sex education, sexually explicit, unsuited for age group, violence. Additional reasons: “depictions of bullying”",,The Absolutely True Diary of a Part-Time Indian,230,10,1,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,2,2017,"Consistently challenged since its publication in 2007 for acknowledging issues such as poverty, alcoholism, and sexuality, this National Book Award winner was challenged in school curriculums because of offensive language and situations that were deemed sexually explicit.",,The Absolutely True Diary of a Part-Time Indian,230,9,2,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,2,2012,"offensive language, racism, sexually explicit, unsuited for age group",,The Absolutely True Diary of a Part-Time Indian,230,9,2,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,3,2013,"drugs/alcohol/smoking, offensive language, racism, sexually explicit, unsuited for age group",,The Absolutely True Diary of a Part-Time Indian,230,8,3,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,5,2020,"Banned and challenged for profanity, sexual references, and allegations of sexual misconduct by the author",,The Absolutely True Diary of a Part-Time Indian,230,6,5,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,6,2021,"Banned and challenged for profanity, sexual references and use of a derogatory term",,The Absolutely True Diary of a Part-Time Indian,230,5,6,,,,,,,,,,,,,,,,,,,
The Absolutely True Diary of a Part-Time Indian,4.06,276064,https://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692,Sherman Alexie,Man,Book,Fiction,Bildungsroman,2007,9,2018,"banned and challenged for sexual references, profanity, violence, gambling, and underage drinking, and for its religious viewpoint",,The Absolutely True Diary of a Part-Time Indian,230,2,9,,,,,,,,,,,,,,,,,,,
The Bluest Eye,4.03,132233,https://www.amazon.com/Bluest-Eye-Vintage-International/dp/0307278441,Toni Morrison,Woman,Book,Fiction,African-American,1970,2,2013,"offensive language, sexually explicit, unsuited for age group, violence",,The Bluest Eye,224,9,2,,,,,Wisconsin,Menomonee Falls Schools,October 2023,Banned,Formal Challenge,11337,The Bluest Eye,Toni Morrison,452287065,9780452287068,eng,216,5507,9/6/2005,Plume
The Bluest Eye,4.03,132233,https://www.amazon.com/Bluest-Eye-Vintage-International/dp/0307278441,Toni Morrison,Woman,Book,Fiction,African-American,1970,4,2014,"sexually explicit, unsuited for age group, political. Additional reasons: “contains controversial issues”",,The Bluest Eye,224,7,4,,,,,Wisconsin,Menomonee Falls Schools,October 2023,Banned,Formal Challenge,11337,The Bluest Eye,Toni Morrison,452287065,9780452287068,eng,216,5507,9/6/2005,Plume
The Bluest Eye,4.03,132233,https://www.amazon.com/Bluest-Eye-Vintage-International/dp/0307278441,Toni Morrison,Woman,Book,Fiction,African-American,1970,8,2021,Banned and challenged because it depicts child sexual abuse and was considered sexually explicit,,The Bluest Eye,224,3,8,,,,,Wisconsin,Menomonee Falls Schools,October 2023,Banned,Formal Challenge,11337,The Bluest Eye,Toni Morrison,452287065,9780452287068,eng,216,5507,9/6/2005,Plume
The Bluest Eye,4.03,132233,https://www.amazon.com/Bluest-Eye-Vintage-International/dp/0307278441,Toni Morrison,Woman,Book,Fiction,African-American,1970,9,2020,Banned and challenged because it was considered sexually explicit and depicts child sexual abuse,,The Bluest Eye,224,2,9,,,,,Wisconsin,Menomonee Falls Schools,October 2023,Banned,Formal Challenge,11337,The Bluest Eye,Toni Morrison,452287065,9780452287068,eng,216,5507,9/6/2005,Plume
The Curious Incident of the Dog in the Night-Time,3.89,1520167,https://www.amazon.com/Curious-Incident-Dog-Night-Time/dp/1400032717,Mark Haddon,Man,Book,Fiction,Mystery,2003,5,2015,"offensive language, religious viewpoint, unsuited for age group, anti-religion, and other (“profanity and atheism”)",,The Curious Incident of the Dog in the Night-Time,274,6,5,,,,,,,,,,,,,,,,,,,
The Glass Castle,4.27,14,https://www.amazon.com/Glass-Castle-Memoir-Jeannette-Walls/dp/074324754X,Jeanette Walls,Woman,Book,Non-Fiction,Memoir,2005,9,2012,"offensive language, sexually explicit",,The Glass Castle,289,2,9,,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration,25454,The Glass Castle,Jeannette Walls/Julia Gibson,1419341049,9781419341045,eng,10,6,11/1/2005,Recorded Books
The Handmaid’s Tale,4.14,2149152,https://www.amazon.com/Handmaids-Tale-Margaret-Atwood/dp/038549081X/ref=d_pd_sbs_sccl_2_1/133-4711571-0832030?pd_rd_w=7rQDQ&content-id=amzn1.sym.d8274306-8eaa-4da3-9175-aca6400f9aa9&pf_rd_p=d8274306-8eaa-4da3-9175-aca6400f9aa9&pf_rd_r=12C8WXBDQGGE6Z6QA4P4&pd_rd_wg=tLX3j&pd_rd_r=82897e0e-4d9f-4742-b438-dd2810917e1e&pd_rd_i=038549081X&psc=1,Margaret Atwood,Woman,Book,Fiction,Dystopian,1985,7,2019,banned and challenged for profanity and for “vulgarity and sexual overtones”,,The Handmaid’s Tale,311,4,7,,,,,,,,,,,,,,,,,,,
The Hate U Give,4.47,941157,https://www.amazon.com/Hate-U-Give-Angie-Thomas/dp/0062498533,Angie Thomas,Woman,Book,Fiction,Urban Fiction,2017,4,2018,"banned and challenged because it was deemed “anti-cop,” political, and for offensive language, drug use, and sexual references",,The Hate U Give,444,7,4,,,,,,,,,,,,,,,,,,,
The Hate U Give,4.47,941157,https://www.amazon.com/Hate-U-Give-Angie-Thomas/dp/0062498533,Angie Thomas,Woman,Book,Fiction,Urban Fiction,2017,5,2021,"Banned and challenged for offensive language, violence, and because it was thought to promote an anti-police, racism, political, message and indoctrination of a social agenda",,The Hate U Give,444,6,5,,,,,,,,,,,,,,,,,,,
The Hate U Give,4.47,941157,https://www.amazon.com/Hate-U-Give-Angie-Thomas/dp/0062498533,Angie Thomas,Woman,Book,Fiction,Urban Fiction,2017,8,2017,"Despite winning multiple awards and being the most searched-for book on Goodreads during its debut year, this YA novel was challenged and banned in school libraries and curriculums because it was considered“pervasively vulgar” and because of drug use, profanity, and offensive language.",,The Hate U Give,444,3,8,,,,,,,,,,,,,,,,,,,
The Hate U Give,4.47,941157,https://www.amazon.com/Hate-U-Give-Angie-Thomas/dp/0062498533,Angie Thomas,Woman,Book,Fiction,Urban Fiction,2017,10,2020,"Challenged for offensive language, and it was thought to promote an anti-police message, political",,The Hate U Give,444,1,10,,,,,,,,,,,,,,,,,,,
The Holy Bible,4.44,298566,https://www.amazon.com/Holy-Bible-Standard-Thumb-Burgundy/dp/1432102400/ref=sr_1_1_sspa?crid=3GSYP7R7BWJ4V&keywords=king+James+bible&qid=1659303579&s=books&sprefix=king+james+bible%2Cstripbooks%2C79&sr=1-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzTVJKWEg2VjI5RTVEJmVuY3J5cHRlZElkPUEwNTE1Njk4MjBWSlFaWlBYS0ZQTiZlbmNyeXB0ZWRBZElkPUEwOTkzMzUyRU1YNVVEUTZVQTJEJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,,Unknown,Book,Religious Text,Religious,1611,6,2015,religious viewpoint,,The Holy Bible,1002,5,6,,,,,,,,,,,,,,,,,,,
The Hunger Games,4.34,9040182,https://www.amazon.com/Hunger-Games-Book/dp/0439023483,Suzanne Collins,Woman,Book,Fiction,Dystopian,2008,5,2013,"religious viewpoint, unsuited for age group",,The Hunger Games,374,6,5,,,,,,,,,,,,,,,,,,,
The Kite Runner,4.35,3258019,https://www.amazon.com/Kite-Runner-Khaled-Hosseini/dp/159463193X,Khaled Hosseini,Man,Book,Fiction,Bildungsroman,2003,4,2017,"This critically acclaimed, multigenerational novel was challenged and banned because it includes sexual violence and was thought to “lead to terrorism” and “promote Islam.” Anti-religion",,The Kite Runner,371,7,4,,,,,,,,,,,,,,,,,,,
The Kite Runner,4.35,3258019,https://www.amazon.com/Kite-Runner-Khaled-Hosseini/dp/159463193X,Khaled Hosseini,Man,Book,Fiction,Bildungsroman,2003,6,2012,"Same-sex, offensive language, religious viewpoint, sexually explicit",,The Kite Runner,371,5,6,,,,,,,,,,,,,,,,,,,
The Kite Runner,4.35,3258019,https://www.amazon.com/Kite-Runner-Khaled-Hosseini/dp/159463193X,Khaled Hosseini,Man,Book,Fiction,Bildungsroman,2003,7,2014,"offensive language, unsuited for age group, violence",,The Kite Runner,371,4,7,,,,,,,,,,,,,,,,,,,
The Perks of Being a Wallflower,4.23,1866469,https://www.amazon.com/Perks-Being-Wallflower-Stephen-Chbosky/dp/0671027344,Stephen Chbosky,Man,Book,Fiction,Bildungsroman,1999,8,2014,"drugs/alcohol/smoking, homosexuality, offensive language, sexually explicit, unsuited for age group. Additional reasons: “date rape and masturbation”",,The Perks of Being a Wallflower,256,3,8,,,,,,,,,,,,,,,,,,,
The Perks of Being a Wallflower,4.23,1866469,https://www.amazon.com/Perks-Being-Wallflower-Stephen-Chbosky/dp/0671027344,Stephen Chbosky,Man,Book,Fiction,Bildungsroman,1999,8,2013,"drugs/alcohol/smoking, homosexuality, sexually explicit, unsuited for age group",,The Perks of Being a Wallflower,256,3,8,,,,,,,,,,,,,,,,,,,
Thirteen Reasons Why,3.84,992003,https://www.amazon.com/13-Reasons-Why-Jay-Asher/dp/0451478290,Jay Asher,Man,Book,Fiction,Young Adult,2007,1,2017,"Originally published in 2007, this New York Times bestseller has resurfaced as a controversial book after Netflix aired a TV series by the same name. This YA novel was challenged and banned in multiple school districts because it discusses suicide.",,Thirteen Reasons Why,288,10,1,,,,,,,,,,,,,,,,,,,
Thirteen Reasons Why,3.84,992003,https://www.amazon.com/13-Reasons-Why-Jay-Asher/dp/0451478290,Jay Asher,Man,Book,Fiction,Young Adult,2007,3,2012,"drugs/alcohol/smoking, sexually explicit, suicide, unsuited for age group",,Thirteen Reasons Why,288,8,3,,,,,,,,,,,,,,,,,,,
Thirteen Reasons Why,3.84,992003,https://www.amazon.com/13-Reasons-Why-Jay-Asher/dp/0451478290,Jay Asher,Man,Book,Fiction,Young Adult,2007,6,2018,"banned, challenged, and restricted for addressing teen suicide",,Thirteen Reasons Why,288,5,6,,,,,,,,,,,,,,,,,,,
This Book is Gay,3.77,11615,https://www.amazon.com/This-Book-Gay-Juno-Dawson/dp/1492617830,Juno Dawson,Woman,Book,Non-Fiction,Young Adult,2014,9,2021,"Banned, challenged, relocated, and restricted for providing sexual education and LGBTQIA+ content.",,This Book is Gay,272,2,9,,,,,,,,,,,,,,,,,,,
This Day in June,4.19,1664,https://www.amazon.com/This-Day-June-Gayle-Pitman/dp/1433816598,Gayle E. Pitman,Woman,Picture Book,Fiction,Children's,2014,10,2018,challenged and burned for including LGBTQIA+ content,,This Day in June,32,1,10,,,,,,,,,,,,,,,,,,,
This One Summer,3.69,87711,https://www.amazon.com/This-One-Summer-Mariko-Tamaki/dp/159643774X,Mariko Tamaki,Woman,Graphic Novel,Fiction,Bildungsroman,2014,1,2016,"challenged because it includes LGBT characters, drug use and profanity, and it was considered sexually explicit with mature themes",,This One Summer,320,10,1,,,,,,,,,,,,,,,,,,,
This One Summer,3.69,87711,https://www.amazon.com/This-One-Summer-Mariko-Tamaki/dp/159643774X,Mariko Tamaki,Woman,Graphic Novel,Fiction,Bildungsroman,2014,7,2018,"banned and challenged for profanity, sexual references, and certain illustrations",,This One Summer,320,4,7,,,,,,,,,,,,,,,,,,,
To Kill a Mockingbird,4.27,271,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0446310786,Harper Lee,Woman,Book,Fiction,Bildungsroman,1960,7,2020,"Banned and challenged for racial slurs and their negative effect on students, featuring a “white savior” character, and its perception of the Black experience, political",,To Kill a Mockingbird,281,4,7,,,,,Iowa,East Union Community School District,June 2024,Banned,Administration,2661,To Kill a Mockingbird,Harper Lee,61205699,9780061205699,en-US,323,34,10/17/2006,Harper
To Kill a Mockingbird,4.27,271,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0446310786,Harper Lee,Woman,Book,Fiction,Bildungsroman,1960,7,2017,"This Pulitzer Prize-winning novel, considered an American classic, was challenged and banned because of violence and its use of the N-word, racism",,To Kill a Mockingbird,281,4,7,,,,,Iowa,East Union Community School District,June 2024,Banned,Administration,2661,To Kill a Mockingbird,Harper Lee,61205699,9780061205699,en-US,323,34,10/17/2006,Harper
Two Boys Kissing,4.08,47970,https://www.amazon.com/Two-Boys-Kissing-David-Levithan/dp/0307931900,David Levithan,Man,Book,Fiction,Young Adult,2013,5,2016,"challenged because its cover has an image of two boys kissing, and it was considered to include sexually explicit LGBT content, homosexuality, same-sex",,Two Boys Kissing,208,6,5,,,,,,,,,,,,,,,,,,,
Two Boys Kissing,4.08,47970,https://www.amazon.com/Two-Boys-Kissing-David-Levithan/dp/0307931900,David Levithan,Man,Book,Fiction,Young Adult,2013,10,2015,homosexuality and other (“condones public displays of affection”),,Two Boys Kissing,208,1,10,,,,,,,,,,,,,,,,,,,